2016,17 and under,Female,20,,,,,,,,,,,,,,,,,,,,
2016,18,Female,120,,,,,,,,,,,,,,,,,,,,
2016,19,Female,70,,,,,,,,,,,,,,,,,,,,
2016,20,Female,20,,,,,,,,,,,,,,,,,,,,
2016,21 - 24,Female,50,,,,,,,,,,,,,,,,,,,,
2016,25 - 29,Female,20,,,,,,,,,,,,,,,,,,,,
2016,30 - 34,Female,10,,,,,,,,,,,,,,,,,,,,
2016,35 and over,Female,10,,,,,,,,,,,,,,,,,,,,
2017,17 and under,Female,20,,,,,,,,,,,,,,,,,,,,
2017,18,Female,110,,,,,,,,,,,,,,,,,,,,
2017,19,Female,70,,,,,,,,,,,,,,,,,,,,
2017,20,Female,20,,,,,,,,,,,,,,,,,,,,
2017,21 - 24,Female,60,,,,,,,,,,,,,,,,,,,,
2017,25 - 29,Female,30,,,,,,,,,,,,,,,,,,,,
2017,30 - 34,Female,10,,,,,,,,,,,,,,,,,,,,
2017,35 and over,Female,0,,,,,,,,,,,,,,,,,,,,
2018,17 and under,Female,20,,,,,,,,,,,,,,,,,,,,
2018,18,Female,130,,,,,,,,,,,,,,,,,,,,
2018,19,Female,90,,,,,,,,,,,,,,,,,,,,
2018,20,Female,30,,,,,,,,,,,,,,,,,,,,
2018,21 - 24,Female,70,,,,,,,,,,,,,,,,,,,,
2018,25 - 29,Female,20,,,,,,,,,,,,,,,,,,,,
2018,30 - 34,Female,10,,,,,,,,,,,,,,,,,,,,
2018,35 and over,Female,0,,,,,,,,,,,,,,,,,,,,
2019,17 and under,Female,10,,,,,,,,,,,,,,,,,,,,
2019,18,Female,140,,,,,,,,,,,,,,,,,,,,
2019,19,Female,90,,,,,,,,,,,,,,,,,,,,
2019,20,Female,30,,,,,,,,,,,,,,,,,,,,
2019,21 - 24,Female,60,,,,,,,,,,,,,,,,,,,,
2019,25 - 29,Female,30,,,,,,,,,,,,,,,,,,,,
2019,30 - 34,Female,0,,,,,,,,,,,,,,,,,,,,
2019,35 and over,Female,0,,,,,,,,,,,,,,,,,,,,
2020,17 and under,Female,10,,,,,,,,,,,,,,,,,,,,
2020,18,Female,120,,,,,,,,,,,,,,,,,,,,
2020,19,Female,80,,,,,,,,,,,,,,,,,,,,
2020,20,Female,30,,,,,,,,,,,,,,,,,,,,
2020,21 - 24,Female,60,,,,,,,,,,,,,,,,,,,,
2020,25 - 29,Female,20,,,,,,,,,,,,,,,,,,,,
2020,30 - 34,Female,10,,,,,,,,,,,,,,,,,,,,
2020,35 and over,Female,0,,,,,,,,,,,,,,,,,,,,
2021,17 and under,Female,10,,,,,,,,,,,,,,,,,,,,
2021,18,Female,90,,,,,,,,,,,,,,,,,,,,
2021,19,Female,80,,,,,,,,,,,,,,,,,,,,
2021,20,Female,20,,,,,,,,,,,,,,,,,,,,
2021,21 - 24,Female,50,,,,,,,,,,,,,,,,,,,,
2021,25 - 29,Female,20,,,,,,,,,,,,,,,,,,,,
2021,30 - 34,Female,10,,,,,,,,,,,,,,,,,,,,
2021,35 and over,Female,10,,,,,,,,,,,,,,,,,,,,
2022,17 and under,Female,10,,,,,,,,,,,,,,,,,,,,
2022,18,Female,160,,,,,,,,,,,,,,,,,,,,
2022,19,Female,100,,,,,,,,,,,,,,,,,,,,
2022,20,Female,30,,,,,,,,,,,,,,,,,,,,
2022,21 - 24,Female,60,,,,,,,,,,,,,,,,,,,,
2022,25 - 29,Female,30,,,,,,,,,,,,,,,,,,,,
2022,30 - 34,Female,10,,,,,,,,,,,,,,,,,,,,
2022,35 and over,Female,0,,,,,,,,,,,,,,,,,,,,
2023,17 and under,Female,10,,,,,,,,,,,,,,,,,,,,
2023,18,Female,180,,,,,,,,,,,,,,,,,,,,
2023,19,Female,120,,,,,,,,,,,,,,,,,,,,
2023,20,Female,40,,,,,,,,,,,,,,,,,,,,
2023,21 - 24,Female,90,,,,,,,,,,,,,,,,,,,,
2023,25 - 29,Female,30,,,,,,,,,,,,,,,,,,,,
2023,30 - 34,Female,10,,,,,,,,,,,,,,,,,,,,
2023,35 and over,Female,10,,,,,,,,,,,,,,,,,,,,
