2016,20,Male,10,,,,,,,,,,,,,,,,,,,
2016,21 - 24,Male,50,,,,,,,,,,,,,,,,,,,
2016,25 - 29,Male,20,,,,,,,,,,,,,,,,,,,
2016,30 - 34,Male,10,,,,,,,,,,,,,,,,,,,
2016,35 and over,Male,10,,,,,,,,,,,,,,,,,,,
2017,17 and under,Male,10,,,,,,,,,,,,,,,,,,,
2017,18,Male,90,,,,,,,,,,,,,,,,,,,
2017,19,Male,70,,,,,,,,,,,,,,,,,,,
2017,20,Male,20,,,,,,,,,,,,,,,,,,,
2017,21 - 24,Male,50,,,,,,,,,,,,,,,,,,,
2017,25 - 29,Male,20,,,,,,,,,,,,,,,,,,,
2017,30 - 34,Male,10,,,,,,,,,,,,,,,,,,,
2017,35 and over,Male,10,,,,,,,,,,,,,,,,,,,
2018,17 and under,Male,20,,,,,,,,,,,,,,,,,,,
2018,18,Male,90,,,,,,,,,,,,,,,,,,,
2018,19,Male,60,,,,,,,,,,,,,,,,,,,
2018,20,Male,20,,,,,,,,,,,,,,,,,,,
2018,21 - 24,Male,40,,,,,,,,,,,,,,,,,,,
2018,25 - 29,Male,20,,,,,,,,,,,,,,,,,,,
2018,30 - 34,Male,0,,,,,,,,,,,,,,,,,,,
2018,35 and over,Male,0,,,,,,,,,,,,,,,,,,,
2019,17 and under,Male,10,,,,,,,,,,,,,,,,,,,
2019,18,Male,100,,,,,,,,,,,,,,,,,,,
2019,19,Male,70,,,,,,,,,,,,,,,,,,,
2019,20,Male,20,,,,,,,,,,,,,,,,,,,
2019,21 - 24,Male,30,,,,,,,,,,,,,,,,,,,
2019,25 - 29,Male,20,,,,,,,,,,,,,,,,,,,
2019,30 - 34,Male,10,,,,,,,,,,,,,,,,,,,
2019,35 and over,Male,10,,,,,,,,,,,,,,,,,,,
2020,17 and under,Male,0,,,,,,,,,,,,,,,,,,,
2020,18,Male,90,,,,,,,,,,,,,,,,,,,
2020,19,Male,80,,,,,,,,,,,,,,,,,,,
2020,20,Male,20,,,,,,,,,,,,,,,,,,,
2020,21 - 24,Male,40,,,,,,,,,,,,,,,,,,,
2020,25 - 29,Male,20,,,,,,,,,,,,,,,,,,,
2020,30 - 34,Male,0,,,,,,,,,,,,,,,,,,,
2020,35 and over,Male,0,,,,,,,,,,,,,,,,,,,
2021,17 and under,Male,10,,,,,,,,,,,,,,,,,,,
2021,18,Male,100,,,,,,,,,,,,,,,,,,,
2021,19,Male,70,,,,,,,,,,,,,,,,,,,
2021,20,Male,20,,,,,,,,,,,,,,,,,,,
2021,21 - 24,Male,40,,,,,,,,,,,,,,,,,,,
2021,25 - 29,Male,20,,,,,,,,,,,,,,,,,,,
2021,30 - 34,Male,0,,,,,,,,,,,,,,,,,,,
2021,35 and over,Male,0,,,,,,,,,,,,,,,,,,,
2022,17 and under,Male,0,,,,,,,,,,,,,,,,,,,
2022,18,Male,90,,,,,,,,,,,,,,,,,,,
2022,19,Male,90,,,,,,,,,,,,,,,,,,,
2022,20,Male,20,,,,,,,,,,,,,,,,,,,
2022,21 - 24,Male,40,,,,,,,,,,,,,,,,,,,
2022,25 - 29,Male,30,,,,,,,,,,,,,,,,,,,
2022,30 - 34,Male,10,,,,,,,,,,,,,,,,,,,
2022,35 and over,Male,10,,,,,,,,,,,,,,,,,,,
2023,17 and under,Male,10,,,,,,,,,,,,,,,,,,,
2023,18,Male,120,,,,,,,,,,,,,,,,,,,
2023,19,Male,100,,,,,,,,,,,,,,,,,,,
2023,20,Male,20,,,,,,,,,,,,,,,,,,,
2023,21 - 24,Male,50,,,,,,,,,,,,,,,,,,,
2023,25 - 29,Male,20,,,,,,,,,,,,,,,,,,,
2023,30 - 34,Male,10,,,,,,,,,,,,,,,,,,,
2023,35 and over,Male,0,,,,,,,,,,,,,,,,,,,
